WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,88,117.67045454545455,417.09090909090907,7069.0,5754.409090909091,3722.0,111,413,125,422
A1,1,1,0,0,0,0,83,120.04819277108433,950.4939759036145,7279.0,6119.313253012048,4447.0,115,945,126,957
A1,1,1,0,0,0,0,32,121.875,854.5,7530.0,6774.84375,5405.0,118,852,127,858
A1,1,1,0,0,0,0,113,125.4424778761062,344.6371681415929,7295.0,5103.300884955752,3735.0,119,339,132,352
A1,1,1,0,0,0,0,77,126.8051948051948,886.8181818181819,5861.0,4995.025974025974,4204.0,121,882,134,892
A1,1,1,0,0,0,0,90,127.63333333333334,900.3555555555556,7897.0,6513.677777777778,4507.0,121,896,135,905
A1,1,1,0,0,0,0,51,127.2156862745098,472.5098039215686,7669.0,6628.117647058823,5577.0,124,468,131,478
A1,1,1,0,0,0,0,79,132.49367088607596,83.81012658227849,8751.0,6662.645569620253,4581.0,126,81,140,88
A1,1,1,0,0,0,0,48,133.27083333333334,411.9791666666667,9973.0,8365.458333333334,6164.0,130,408,138,417
A1,1,1,0,0,0,0,29,135.48275862068965,275.2068965517241,8476.0,7406.827586206897,6074.0,132,272,140,279
A1,1,1,0,0,0,0,49,135.77551020408163,483.0204081632653,8570.0,7311.530612244898,5964.0,133,478,140,488
A1,1,1,0,0,0,0,144,143.10416666666666,765.7777777777778,9402.0,7171.229166666667,5087.0,134,759,152,774
A1,1,1,0,0,0,0,155,144.18064516129033,51.84516129032258,7953.0,6781.432258064516,5736.0,137,44,152,61
A1,1,1,0,0,0,0,30,141.03333333333333,144.53333333333333,14139.0,10714.766666666666,8198.0,138,141,145,148
A1,1,1,0,0,0,0,78,143.10256410256412,829.6538461538462,4567.0,4073.346153846154,3215.0,137,826,150,835
A1,1,1,0,0,0,0,170,143.69411764705882,682.8705882352941,4126.0,3060.529411764706,1830.0,138,673,150,692
A1,1,1,0,0,0,0,73,143.21917808219177,583.7671232876712,7349.0,6157.273972602739,3551.0,139,579,149,590
A1,1,1,0,0,0,0,66,142.78787878787878,801.8333333333334,9184.0,7393.893939393939,5402.0,140,794,147,812
A1,1,1,0,0,0,0,102,148.2843137254902,382.9019607843137,6957.0,5599.598039215686,3588.0,141,378,157,388
A1,1,1,0,0,0,0,74,147.24324324324326,367.1756756756757,6737.0,5642.135135135135,3882.0,142,364,154,373
A1,1,1,0,0,0,0,185,153.69189189189188,621.8594594594595,12846.0,6872.351351351352,3567.0,148,609,161,634
A1,1,1,0,0,0,0,113,153.79646017699116,502.8053097345133,14358.0,9959.575221238938,6923.0,149,496,160,511
A1,1,1,0,0,0,0,66,154.62121212121212,163.62121212121212,10931.0,8972.681818181818,6839.0,150,158,160,170
A1,1,1,0,0,0,0,26,154.34615384615384,185.46153846153845,10907.0,9589.423076923076,8117.0,152,183,158,189
A1,1,1,0,0,0,0,91,158.8021978021978,25.703296703296704,6086.0,5204.197802197802,4135.0,154,19,165,34
A1,1,1,0,0,0,0,86,159.54651162790697,532.6279069767442,5147.0,4435.953488372093,3713.0,154,526,166,540
A1,1,1,0,0,0,0,62,161.29032258064515,341.0483870967742,8440.0,6759.967741935484,5313.0,155,338,168,345
A1,1,1,0,0,0,0,57,166.0701754385965,240.68421052631578,8343.0,6814.368421052632,5480.0,162,236,170,246
A1,1,1,0,0,0,0,64,166.890625,147.375,10285.0,7732.953125,5316.0,163,143,172,153
A1,1,1,0,0,0,0,60,166.51666666666668,224.25,8826.0,7149.533333333334,5031.0,163,220,171,230
A1,1,1,0,0,0,0,144,170.59027777777777,657.4652777777778,4652.0,3538.277777777778,2393.0,165,650,177,666
A1,1,1,0,0,0,0,108,176.03703703703704,734.2129629629629,5361.0,4209.111111111111,2923.0,171,727,182,742
A1,1,1,0,0,0,0,208,180.85576923076923,700.1634615384615,6625.0,4896.745192307692,3353.0,174,691,189,710
A1,1,1,0,0,0,0,106,184.71698113207546,544.5,13334.0,9463.575471698114,5665.0,178,540,193,551
A1,1,1,0,0,0,0,198,186.58080808080808,164.62626262626262,7716.0,5633.19696969697,3674.0,178,156,198,173
A1,1,1,0,0,0,0,98,182.12244897959184,680.1122448979592,5641.0,4624.857142857143,3778.0,178,674,188,688
A1,1,1,0,0,0,0,84,184.58333333333334,380.67857142857144,6784.0,5664.059523809524,4425.0,180,374,191,388
A1,1,1,0,0,0,0,76,184.32894736842104,960.8552631578947,8808.0,7422.710526315789,6369.0,180,955,190,968
A1,1,1,0,0,0,0,113,184.5929203539823,221.76991150442478,10153.0,8621.0,6403.0,181,213,189,232
A1,1,1,0,0,0,0,129,185.96899224806202,482.2325581395349,5476.0,4059.3953488372094,2064.0,181,475,192,491
A1,1,1,0,0,0,0,74,189.52702702702703,182.74324324324326,7911.0,6653.5,5011.0,184,179,196,187
A1,1,1,0,0,0,0,47,188.48936170212767,247.68085106382978,7919.0,6911.106382978724,5538.0,186,243,193,254
A1,1,1,0,0,0,0,87,198.88505747126436,46.91954022988506,7004.0,5665.609195402299,3845.0,192,42,206,52
A1,1,1,0,0,0,0,93,199.55913978494624,516.8709677419355,5554.0,4527.548387096775,3548.0,194,512,207,523
A1,1,1,0,0,0,0,75,200.38666666666666,444.05333333333334,7931.0,6104.293333333333,3943.0,196,439,206,450
A1,1,1,0,0,0,0,147,205.57142857142858,241.14965986394557,8361.0,6668.9455782312925,4679.0,200,233,212,250
A1,1,1,0,0,0,0,125,204.528,727.672,4837.0,3966.56,2709.0,200,720,211,736
A1,1,1,0,0,0,0,71,209.4788732394366,273.3521126760563,12319.0,10485.084507042253,8826.0,201,267,219,282
A1,1,1,0,0,0,0,76,206.3421052631579,638.1315789473684,8321.0,6373.723684210527,3597.0,201,634,212,643
